;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
505;10241.59;10141.802;10382.729;10595.153
506;10517.38;10380.052;10624.799;10848.433
507;10707.18;10554.151;10801.886;11033.861
508;10816.45;10689.775;10940.101;11178.526
509;10871.5;10769.595;11017.741;11258.162
510;10909.221;10751.182;10992.9;11235.165
511;10899.35;10711.929;10947.784;11189.77
512;10779.88;10675.552;10906.897;11147.996
513;10671.38;10567.75;10789.711;11026.883
514;10480.73;10377.24;10588.186;10821.115
515;10292.75;10144.542;10346.033;10573.305
516;10064.6;9911.608;10106.677;10327.094
517;9677.43;9664.001;9852.168;10062.223
518;9323.27;9267.99;9444.3545;9647.8
519;8977.7;8808.533;8975.442;9170.421
520;8579.2705;8381.716;8545.837;8729.834
521;8124.3306;7977.487;8139.9854;8311.251
522;7709.85;7500.692;7658.74;7822.089
523;7295.2;7015.1597;7171.115;7326.1685
524;6845.58;6566.6055;6724.035;6869.9863
525;6335.24;6108.561;6265.9375;6403.533
526;5850.02;5601.3823;5757.4146;5890.738
527;5333.84;5080.3423;5236.1294;5366.1465
528;4784.83;4542.8555;4698.18;4826.2153
529;4209.37;3985.4182;4137.627;4265.099
530;3635.72;3402.3984;3548.769;3677.9846
531;3068.44;2834.882;2973.6516;3103.141
532;2520.56;2292.5571;2421.7332;2549.1228
533;2021.1699;1789.7695;1908.563;2030.7379
534;1536.7999;1312.4391;1421.7246;1535.9794
535;1121.35;871.19556;970.5261;1074.623
536;766.94;505.17514;590.83203;682.38965
537;492.66;248.35876;316.26062;392.35535
538;268.44998;100.127884;149.8337;207.33838
539;108.96999;30.144192;64.517815;104.63707
540;33.25;2.7794948;25.79198;52.487923
541;8.530001;-4.269916;11.199569;30.593334
542;3.6499999;-2.5435214;8.379786;24.17108
543;0.0;0.64845455;8.872784;23.867718
544;0.0;1.6979144;8.3066845;22.806894
545;0.0;-0.38002768;5.2463245;19.051262
546;0.0;-1.7847123;3.3033054;15.368287
547;0.0;-2.2354097;2.4172115;12.956702
548;0.0;-2.223761;2.0341854;11.445822
549;0.0;-3.114038;0.8260731;9.370521
550;0.0;-3.0157394;0.7131396;8.93774
551;0.0;-2.4586978;1.0129465;9.701226
552;0.0;-2.1242533;1.1164031;10.4081955
553;0.0;-2.8716974;0.27986583;9.09638
554;0.0;-3.306205;-0.17265797;8.440448
555;0.0;-3.327479;-0.31565115;8.594793
556;0.0;-3.2694573;-0.3871724;8.885617
557;0.0;-3.406083;-0.47137895;8.240099
558;0.0;-3.5603056;-0.4923072;8.455403
559;0.0;-3.7642078;-0.66476774;8.505058
560;0.0;-3.8806458;-0.805441;8.463893
561;0.0;-3.9674437;-0.5548945;6.190415
562;0.0;-3.7111962;-0.19862083;6.587755
563;0.0;-3.1055853;0.37266085;8.9621725
564;0.0;-2.730407;0.7880666;11.450708
565;0.0;-2.8027427;1.3199598;10.261648
566;0.0;-3.2699757;1.1183774;10.435343
567;0.0;-3.4514194;0.9954734;11.924703
568;0.0;-3.343718;1.1671935;14.179474
569;0.0;-3.3009238;1.8443503;13.022498
570;0.0;-3.69397;1.580082;13.299994
571;0.0;-4.108487;1.0594428;13.640127
572;0.0;-4.5624056;0.42123017;13.127287
573;0.0;-4.877168;0.21727856;8.911431
574;0.0;-4.2824655;0.36846533;8.188913
575;0.0;-3.2412117;1.0358984;9.004967
576;0.0;-2.193029;2.278414;11.092164
577;0.0;-3.618759;2.01918;9.232858
